"year","round","raceId","date","location","country"
2023,1,1097,2023-03-05,"Sakhir","Bahrain",
2023,2,1098,2023-03-19,"Jeddah","Saudi Arabia"
2023,3,1099,2023-04-02,"Melbourne","Australia"
2023,4,1100,2023-04-30,"Baku","Azerbaijan"
2023,5,1101,2023-05-07,"Miami","USA"
2023,6,1102,2023-05-21,"Imola","Italy"
2023,7,1103,2023-05-28,"Monte-Carlo","Monaco"
2023,8,1104,2023-06-04,"Montmeló","Spain"
2023,9,1105,2023-06-18,"Montreal","Canada"
2023,10,1106,2023-07-02,"Spielberg","Austria"
2023,11,1107,2023-07-09,"Silverstone","UK"
2023,12,1108,2023-07-23,"Budapest","Hungary"
2023,13,1109,2023-07-30,"Spa","Belgium"
2023,14,1110,2023-08-27,"Zandvoort","Netherlands"
2023,15,1111,2023-09-03,"Monza","Italy"
2023,16,1112,2023-09-17,"Marina Bay","Singapore"
2023,17,1113,2023-09-24,"Suzuka","Japan"
2023,18,1114,2023-10-08,"Al Daayen","Qatar"
2023,19,1115,2023-10-22,"Austin","USA"
2023,20,1116,2023-10-29,"Mexico City","Mexico"
2023,21,1117,2023-11-05,"São Paulo","Brazil"
2023,22,1118,2023-11-18,"Las Vegas","USA"
2023,23,1119,2023-11-26,"Abu Dhabi","UAE"


